year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,01,54603,65219,1009566,972179,10484,16.417,7766,12.161,216369,76178,140191,7.836,22.256,142307,60195,82112,6.192,14.638,74062,7.618,29.276,5247,5328,28142
1978,02,7114,8399,106711,107525,1925,23.812,1295,16.019,35135,14504,20631,13.489,32.676,36645,18446,18199,17.155,34.08,-1510,-1.404,65.352,828,834,8783
1978,04,40034,48169,697947,652945,9561,20.498,6510,13.957,196778,79220,117558,12.133,30.137,106222,47993,58229,7.35,16.268,90556,13.869,32.536,4429,4517,25170
1978,05,36903,42200,567917,543616,7228,17.545,5223,12.678,123432,49350,74082,9.078,22.706,74461,31985,42476,5.884,13.697,48971,9.008,27.395,3862,3887,17119
1978,06,388190,465362,7254593,6909599,83522,18.492,56148,12.431,1772592,672686,1099906,9.736,25.654,1083335,476987,606348,6.903,15.679,689257,9.975,31.357,37541,38087,220630
1978,08,55128,64191,910814,855579,12336,19.793,8607,13.81,239032,87998,151034,10.285,27.938,128374,57626,70748,6.735,15.004,110658,12.934,30.009,5926,6009,29475
1978,09,56216,63937,1158507,1130307,8077,12.848,5936,9.442,202362,60628,141734,5.364,17.903,146436,54420,92016,4.815,12.955,55926,4.948,25.911,3965,4016,20262
1978,10,9942,11495,218528,214461,1532,13.518,1208,10.659,38940,11702,27238,5.456,18.157,30099,9986,20113,4.656,14.035,8841,4.122,28.069,814,826,5055
1978,11,12736,14622,306735,294192,1960,13.535,1679,11.594,66302,18269,48033,6.21,22.537,42269,16399,25870,5.574,14.368,24033,8.169,28.736,1019,1042,5560
1978,12,165165,196719,2642278,2517025,36369,19.023,25292,13.229,669305,265809,403496,10.56,26.591,417937,191112,226825,7.593,16.604,251368,9.987,33.209,17740,18030,100585
1978,13,82101,99734,1612999,1544619,16225,16.605,12182,12.467,359983,137531,222452,8.904,23.306,223298,93673,129625,6.064,14.457,136685,8.849,28.913,8044,8137,43204
1978,15,15719,18897,282411,271897,3100,16.847,2108,11.456,62660,26644,36016,9.799,23.046,41604,17789,23815,6.543,15.301,21056,7.744,30.603,1327,1348,7430
1978,16,17187,19872,238970,228658,3615,18.695,2545,13.161,60625,24877,35748,10.88,26.513,40207,16351,23856,7.151,17.584,20418,8.929,35.168,1740,1758,8186
