year,st,fage,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,01,a) 0,7843,7951,43624,21812,7951,200.000,(X),(X),43624,43624,(X),200.000,200.000,(X),(X),(X),(X),(X),43624,200.000,(X),(X),(X),(X)
1978,01,b) 1,5489,5670,38356,38902,91,1.363,2108,31.564,12797,821,11976,2.110,32.895,13835,9765,4070,25.102,35.564,-1038,-2.668,65.791,1704,1718,8367
1978,01,c) 2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,d) 3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,e) 4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,f) 5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,g) 6 to 10,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,h) 11 to 15,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,i) 16 to 20,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,j) 21 to 25,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,k) 26+,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
1978,01,l) Left Censored,41271,51598,927586,911465,2442,4.590,5658,10.634,160196,31733,128463,3.482,17.576,128478,50430,78048,5.533,14.096,31718,3.480,28.192,3543,3610,19775
1978,02,a) 0,1454,1477,7478,3739,1477,200.000,(X),(X),7478,7478,(X),200.000,200.000,(X),(X),(X),(X),(X),7478,200.000,(X),(X),(X),(X)
1978,02,b) 1,964,1012,6716,7478,16,1.311,433,35.477,2920,101,2819,1.351,39.048,4483,3426,1057,45.814,59.949,-1563,-20.901,78.096,335,336,2269
